ID X Y Z 
0;-0.57735;-0.57735;-0.57735
1;-0.57735;-0.57735;0.57735
2;-0.57735;0.57735;-0.57735
3;-0.57735;0.57735;0.57735
4;0.57735;-0.57735;-0.57735
5;0.57735;-0.57735;0.57735
6;0.57735;0.57735;-0.57735
7;0.57735;0.57735;0.57735
8;0;0.356822;0.934172
9;0;0.356822;-0.934172
10;0;-0.356822;0.934172
11;0;-0.356822;-0.934172
12;0;0.356822;0.934172
13;0;0.356822;-0.934172
14;0;-0.356822;0.934172
15;0;-0.356822;-0.934172
16;0.356822;0.934172;0
17;0.356822;0.934172;0
18;0.356822;-0.934172;0
19;0.356822;-0.934172;0
