Id;NumVertices;Vertices;NumEdges;Edges
0;3;0;1;2;3;0;1;2;
1;3;3;1;2;3;3;1;4;
2;3;3;4;2;3;5;6;4;
3;3;5;4;2;3;7;6;8;
4;3;5;6;2;3;9;10;8;
5;3;0;6;2;3;11;10;2;
6;3;0;7;8;3;12;13;14;
7;3;9;7;8;3;15;13;16;
8;3;9;10;8;3;17;18;16;
9;3;3;10;8;3;19;18;20;
10;3;3;1;8;3;3;21;20;
11;3;0;1;8;3;0;21;14;
12;3;3;10;11;3;19;22;23;
13;3;9;10;11;3;17;22;24;
14;3;9;12;11;3;25;26;24;
15;3;5;12;11;3;27;26;28;
16;3;5;4;11;3;7;29;28;
17;3;3;4;11;3;5;29;23;
18;3;5;12;13;3;27;30;31;
19;3;9;12;13;3;25;30;32;
20;3;9;7;13;3;15;33;32;
21;3;0;7;13;3;12;33;34;
22;3;0;6;13;3;11;35;34;
23;3;5;6;13;3;9;35;31;
